PLZ,Gemeinde
6346,Niederndorferberg
6714,Nüziders
6313,Oberau
6456,Obergurgl
6406,Oberhofen im Inntal
6157,Obernberg am Brenner
6372,Oberndorf in Tirol
6173,Oberperfuss
6416,Obsteig
6433,Oetz
6430,Ötztal-Bahnhof
6082,Patsch
6213,Pertisau
6408,Pettnau
6574,Pettneu am Arlberg
6405,Pfaffenhofen
6647,Pfafflar
6600,Pflach
6143,Pfons
6542,Pfunds
6591,Pians
6136,Pill
6600,Pinswang
6404,Polling in Tirol
6522,Prutz
6241,Radfeld
6741,Raggal
6284,Ramsau im Zillertal
6179,Ranggen
6830,Rankweil
6240,Rattenberg
6370,Reith bei Kitzbühel
6103,Reith bei Seefeld
6260,Reith im Alpbachtal
6347,Rettenschöss
6731,Reutele
6870,Reuthe
6600,Reutte
6531,Ried im Oberinntal
6273,Ried im Zillertal
6943,Riefensberg
6421,Rietz
6991,Riezlern
6074,Rinn
6731,Risana
6280,Rohrberg
6824,Röns
6426,Roppen
6731,Rothenbrunnen
6832,Röthis
6731,Rufana
6063,Rum
6731,Sand
6834,Satteins
6432,Sautens
6108,Scharnitz
6677,Schattwald
6351,Scheffau am Wilden Kaiser
6824,Schlins
6263,Schlitters
6731,Schmiede
6154,Schmirn
6882,Schnepfau
6822,Schnifis
6141,Schönberg im Stubaital
6491,Schönwies
6886,Schoppernau
6888,Schröcken
6780,Schruns
6858,Schwarzach
6867,Schwarzenberg
6130,Schwaz
6292,Schwendau
6385,Schwendt
6334,Schwoich
6555,See
6100,Seefeld in Tirol
6181,Sellrain
6731,Senzaboda
6542,Serfaus
6952,Sibratsgfäll
6782,Silbertal
6424,Silz
6073,Sistrans
6458,Sölden
6351,Söll
6731,Sonntag
6544,Spiss
6580,St. Anton am Arlberg
6771,St. Anton im Montafon
6791,St. Gallenkirch
6722,St. Gerold
6392,St. Jakob in Haus
6380,St. Johann in Tirol
6481,St. Leonhard im Pitztal
6184,St. Sigmund im Sellrain
6393,St. Ulrich am Pillersee
6700,Stallehr
6422,Stams
6200,Stans
6500,Stanz bei Landeck
6642,Stanzach
6767,Steeg
6150,Steinach am Brenner
6215,Steinberg am Rofan
6261,Strass im Zillertal
6571,Strengen
6731,Studa
6275,Stumm
6276,Stummerberg
6832,Sulz
6934,Sulzberg
6675,Tannheim
6464,Tarrenz
6165,Telfes im Stubai
6410,Telfs
6123,Terfens
6065,Thaur
6311,Thierbach
6335,Thiersee
6712,Thüringen
6721,Thüringerberg
6552,Tobadill
6541,Tösens
6152,Trins
6774,Tschagguns
6075,Tulfes
6294,Tux
6834,Übersaxen
6271,Uderns
6441,Umhausen
6178,Unterperfuss
6154,Vals
6773,Vandans
6836,Viktorsberg
6682,Vils
6111,Volders
6176,Völs
6215,Vomp
6645,Vorderhornbach
6384,Waidring
6344,Walchsee
6610,Wängle
6767,Warth
6113,Wattenberg
6112,Wattens
6116,Weer
6133,Weerberg
6837,Weiler
6672,Weißenbach am Lech
6473,Wenns
6363,Westendorf
6210,Wiesing
6413,Wildermieming
6314,Wildschönau
6922,Wolfurt
6300,Wörgl
6511,Zams
6283,Zell am Ziller
6277,Zellberg
6170,Zirl
6677,Zöblen
6835,Zwischenwasser
